Turn,User Text,SNOMED Term,Code,Score,Relation Type,Relation Target Code,Relation Target Term
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Neurogenic stammering (disorder),229632000,0.4415,IS_A,229621000,Disorder of fluency (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Specific academic or work inhibition (disorder),268658008,0.4397,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Adjustment disorder with academic inhibition (disorder),15977008,0.5625,IS_A,17226007,Adjustment disorder (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Specific academic or work inhibition (disorder),268658008,0.5575,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Academic underachievement disorder (disorder),192123006,0.5553,IS_A,231538003,Behavioral and emotional disorder with onset in childhood (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Avoidant disorder of adolescence (disorder),90790003,0.5223,IS_A,109006,Anxiety disorder of childhood OR adolescence (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Adjustment disorder with work inhibition (disorder),32880007,0.5119,IS_A,17226007,Adjustment disorder (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Specific work inhibition (disorder),275473003,0.537,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Adjustment disorder with work inhibition (disorder),32880007,0.5231,IS_A,17226007,Adjustment disorder (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Eccentric personality disorder (disorder),191772006,0.5208,IS_A,33449004,Personality disorder (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Specific academic or work inhibition (disorder),268658008,0.5088,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Physical AND emotional exhaustion state (disorder),58535001,0.4865,IS_A,197480006,Anxiety disorder (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Adjustment disorder with mixed disturbance of emotions and conduct in remission (disorder),698697003,0.5415,IS_A,66381006,Adjustment disorder with mixed disturbance of emotions AND conduct (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Adjustment disorder with mixed disturbance of emotions AND conduct (disorder),66381006,0.4845,IS_A,84984002,Adjustment disorder with disturbance of conduct (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Adjustment disorder in remission (disorder),698701000,0.4822,IS_A,17226007,Adjustment disorder (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Adjustment disorder with anxious mood in remission (disorder),698693004,0.4777,IS_A,47372000,Adjustment disorder with anxious mood (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Adjustment disorder with mixed emotional features (disorder),55668003,0.4767,IS_A,17226007,Adjustment disorder (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Adjustment reaction with destructiveness (disorder),192058006,0.5101,IS_A,84984002,Adjustment disorder with disturbance of conduct (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Adjustment disorder with mixed disturbance of emotions and conduct in remission (disorder),698697003,0.4732,IS_A,66381006,Adjustment disorder with mixed disturbance of emotions AND conduct (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Specific work inhibition (disorder),275473003,0.4591,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Adjustment reaction with aggression (disorder),192056005,0.4588,IS_A,84984002,Adjustment disorder with disturbance of conduct (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Panic disorder (disorder),371631005,0.4575,IS_A,197480006,Anxiety disorder (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Flagellantism (disorder),41524005,0.4307,IS_A,50299009,Paraphilia (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Hyperkinesis with developmental delay (disorder),192131001,0.4256,IS_A,406506008,Attention deficit hyperactivity disorder (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",True compulsive fetishism (disorder),18186001,0.419,IS_A,59174009,Fetishism (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Group delinquency (disorder),192092009,0.4126,IS_A,231541007,Conduct disorder - unsocialized (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.","Pedophilia, nonexclusive type (disorder)",48309007,0.4094,IS_A,84002002,Pedophilia (disorder)
