Turn,User Text,SNOMED Term,Code,Score,Relation Type,Relation Target Code,Relation Target Term
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Delusion of foul odor (disorder),238975005,0.3729,IS_A,238972008,Cutaneous monosymptomatic delusional psychosis (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Self-induced vomiting to lose weight (disorder),705001007,0.3824,IS_A,32721004,"Bulimia nervosa, purging type (disorder)"
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Delusion of foul odor (disorder),238975005,0.3719,IS_A,238972008,Cutaneous monosymptomatic delusional psychosis (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Acute stupor state due to acute stress reaction (disorder),192039002,0.37,IS_A,67195008,Acute stress disorder (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Acute fugue state due to acute stress reaction (disorder),192038005,0.366,IS_A,67195008,Acute stress disorder (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Acute panic state due to acute stress reaction (disorder),192037000,0.3647,IS_A,67195008,Acute stress disorder (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Acute panic state due to acute stress reaction (disorder),192037000,0.3647,IS_A,371631005,Panic disorder (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Acute panic state due to acute stress reaction (disorder),192037000,0.3323,IS_A,67195008,Acute stress disorder (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Acute panic state due to acute stress reaction (disorder),192037000,0.3323,IS_A,371631005,Panic disorder (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Self-induced vomiting to lose weight (disorder),705001007,0.3289,IS_A,32721004,"Bulimia nervosa, purging type (disorder)"
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Insomnia disorder related to another mental disorder (disorder),24121004,0.3222,,,
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Acute stupor state due to acute stress reaction (disorder),192039002,0.3207,IS_A,67195008,Acute stress disorder (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Elaboration of physical symptoms for psychological reasons (disorder),192527004,0.3122,IS_A,33449004,Personality disorder (disorder)
