Turn,User Text,SNOMED Term,Code,Score,Relation Type,Relation Target Code,Relation Target Term
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Adjustment disorder with work inhibition (disorder),32880007,0.3798,IS_A,17226007,Adjustment disorder (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Occupational neurosis (disorder),280946004,0.3542,IS_A,111475002,Neurosis (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Stress and adjustment reaction (disorder),271952001,0.348,INVERSE_due_to,7031000119100,Psychogenic fugue co-occurrent and due to stress reaction (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Stress and adjustment reaction (disorder),271952001,0.348,IS_A,17226007,Adjustment disorder (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Adjustment disorder with work inhibition (disorder),32880007,0.4662,IS_A,17226007,Adjustment disorder (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Physical AND emotional exhaustion state (disorder),58535001,0.4536,IS_A,197480006,Anxiety disorder (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Specific academic or work inhibition (disorder),268658008,0.4112,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Specific work inhibition (disorder),275473003,0.3854,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Combat fatigue (disorder),61157009,0.383,IS_A,67195008,Acute stress disorder (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Masked depression (disorder),231500002,0.3906,IS_A,35489007,Depressive disorder (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Stress and adjustment reaction (disorder),271952001,0.362,INVERSE_due_to,7031000119100,Psychogenic fugue co-occurrent and due to stress reaction (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Stress and adjustment reaction (disorder),271952001,0.362,IS_A,17226007,Adjustment disorder (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Carer stress syndrome (disorder),300979000,0.3579,IS_A,271952001,Stress and adjustment reaction (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Adjustment reaction of adult life (disorder),386823006,0.3514,IS_A,17226007,Adjustment disorder (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.","Bipolar affective disorder, currently depressed, moderate (disorder)",191630001,0.3377,IS_A,191627008,"Bipolar affective disorder, current episode depression (disorder)"
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Physical AND emotional exhaustion state (disorder),58535001,0.3674,IS_A,197480006,Anxiety disorder (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Adjustment reaction of adult life (disorder),386823006,0.3566,IS_A,17226007,Adjustment disorder (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Adjustment disorder with work inhibition (disorder),32880007,0.354,IS_A,17226007,Adjustment disorder (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Adjustment reaction of late life (disorder),386825004,0.3455,IS_A,17226007,Adjustment disorder (disorder)
8,"I’m worried that if I keep going like this, I’ll burn out completely, but I don’t know what slowing down would even look like right now.I want to feel more in control of my time and my emotions, but everything feels reactive, like I’m constantly putting out fires.",Prolonged depressive adjustment reaction (disorder),192049004,0.3451,IS_A,57194009,Adjustment disorder with depressed mood (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Separation anxiety (disorder),126943008,0.3302,IS_A,197480006,Anxiety disorder (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Brief depressive adjustment reaction (disorder),192046006,0.3026,IS_A,57194009,Adjustment disorder with depressed mood (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.","Chronic bipolar I disorder, most recent episode depressed (disorder)",51637008,0.301,IS_A,128293007,Chronic mental disorder (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.","Chronic bipolar I disorder, most recent episode depressed (disorder)",51637008,0.301,IS_A,191627008,"Bipolar affective disorder, current episode depression (disorder)"
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.","Chronic bipolar I disorder, most recent episode depressed (disorder)",51637008,0.301,IS_A,371596008,Bipolar I disorder (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Prolonged depressive adjustment reaction (disorder),192049004,0.2964,IS_A,57194009,Adjustment disorder with depressed mood (disorder)
9,"I guess I’m here because I don’t want to keep carrying all of this alone, and I need help figuring out how to move forward without feeling so crushed all the time.",Adjustment reaction of adult life (disorder),386823006,0.296,IS_A,17226007,Adjustment disorder (disorder)
