code,term
102900008,Abusive emotional relationship with parents (finding)
102901007,Abusive emotional relationship with spouse (finding)
102902000,Abusive emotional relationship with husband (finding)
102903005,Abusive emotional relationship with wife (finding)
102904004,Abusive emotional relationship with child (finding)
423794002,Abusive emotional relationship with partner (finding)
106131003,Mood finding (finding)
102897001,Feeling intoxicated (finding)
247672006,Delusional mood (finding)
247673001,Delusional perplexity (finding)
247694003,Passivity of volitional acts (finding)
276245005,Non-delusional perplexed mood (finding)
276247002,Incongruity of mood (finding)
281144009,Somatic passivity (finding)
286644009,Level of anxiety (finding)
61387006,Moderate anxiety (finding)
70997004,Mild anxiety (finding)
17029006,Feeling despair (finding)
18963009,Mood swings (finding)
225006001,Becomes angry very easily (finding)
225653004,Easily upset (finding)
225654005,Temperamental (finding)
225656007,Unpredictable in mood (finding)
225657003,Volatile Mood (finding)
247800004,Diurnal variation of mood (finding)
247801000,Depression worse in morning (finding)
247802007,Depression worse later in day (finding)
286641001,Moody (finding)
307076007,Cyclic mood swings (finding)
20602000,Indifference (finding)
162719003,On examination - apathetic (finding)
24936000,Emotionally detached (finding)
25467004,Hyperaffectivity (finding)
27596001,Hyposensitivity (finding)
30819006,Dysphoric mood (finding)
33314005,Hypoaffectivity (finding)
35209006,Sensitivity (finding)
367545001,Fearful mood (finding)
231508009,Examination fear (finding)
247829002,Fear of empty streets (finding)
247831006,Fear of crossing streets (finding)
191728008,Fear of crowds (finding)
225626003,Fear of mobilizing (finding)
225625004,Fear of walking (finding)
404910002,Fear of falling while mobilizing (finding)
225627007,Fear of disconnection from ventilator (finding)
225629005,Fear of being left alone (finding)
225628002,Fear of being left alone during period of dependence (finding)
225632008,Fear of lifts (finding)
247809003,Fear of losing control of bowels (finding)
225646008,Fear of losing control of bowels in public (finding)
247810008,Fear of wetting self (finding)
225645007,Fear of wetting self in public (finding)
247811007,Fear of vomiting in public (finding)
247812000,Fear of having a fit (finding)
247813005,Fear of choking (finding)
247816002,Fear of collapsing (finding)
247817006,Fear of fainting (finding)
247819009,Fear of shaking (finding)
247820003,Fear of sweating (finding)
247822006,Fear of going crazy (finding)
247823001,Fear of losing emotional control (finding)
247824007,Fear of becoming fat (finding)
247826009,Fear of appearing ridiculous (finding)
247827000,Fear of saying the wrong thing (finding)
247833009,Fear of activities in public (finding)
247834003,Fear of eating in public (finding)
247835002,Fear of public speaking (finding)
247836001,Fear of using public toilets (finding)
247837005,Fear of writing in public (finding)
247838000,Fear of social group activities (finding)
247839008,Fear of being in a small group (finding)
247840005,Fear of social gatherings (finding)
247841009,Fear of speaking on the phone (finding)
247842002,Fear of speaking to people in authority (finding)
247843007,Fear of being laughed at (finding)
247844001,Fear of being watched (finding)
247846004,Fear of natural phenomena (finding)
225633003,Fear of thunderstorm (finding)
247847008,Fear of the dark (finding)
247849006,Fear of feathers (finding)
247856000,Fear of anesthetic (finding)
225631001,Fear of not coping with treatment (finding)
247857009,Fear of general anesthetic (finding)
247858004,Fear of awareness under general anesthetic (finding)
247859007,Fear of not waking from general anesthetic (finding)
247861003,Fear of local anesthetic (finding)
247862005,Fear of problem after anesthetic (finding)
247864006,Fear of surgical masks (finding)
247865007,Fear of hospitals (finding)
247870000,Fear of the bogey man (finding)
247871001,Fear of ghosts (finding)
276242008,Fear of water (finding)
277816006,Fear relating to body function (finding)
279926005,Fear of needles (finding)
286545003,Fear of birds (finding)
417620007,On examination - fearful mood (finding)
699389008,Fear of medical treatment (finding)
48079002,Disturbance in mood (finding)
279571009,Seasonal variation of mood (finding)
5240007,Inappropriate jocularity (finding)
55929007,Feeling irritable (finding)
33624008,Hyperirritability (finding)
75408008,Feeling angry (finding)
224971003,Feeling aggressive (finding)
225005002,Unable to control anger (finding)
285848000,Able to control anger (finding)
162726003,On examination - angry (finding)
76094002,Pleasurable affect (finding)
102894008,Feeling calm (finding)
79015004,Worried (finding)
225635005,Anxiety about treatment (finding)
225636006,Anxiety about forced dependence (finding)
225637002,Anxiety about loss of control (finding)
277829006,Anxiety about losing emotional control (finding)
247808006,Anxiety about body function or health (finding)
225644006,Anxiety about altered body image (finding)
277818007,Anxiety about losing control of bowels (finding)
277819004,Anxiety about wetting self (finding)
277820005,Anxiety about vomiting in public (finding)
277821009,Anxiety about having a fit (finding)
277822002,Anxiety about choking (finding)
277823007,Anxiety about swallowing (finding)
277824001,Anxiety about collapsing (finding)
277833004,Anxiety about fainting (finding)
277834005,Anxiety about having a heart attack (finding)
277825000,Anxiety about shaking (finding)
277826004,Anxiety about sweating (finding)
277827008,Anxiety about dying (finding)
277828003,Anxiety about going crazy (finding)
277831002,Anxiety about becoming fat (finding)
89225005,Anxiety about blushing (finding)
401010000,Patient concerned about eyesight (finding)
431432003,Anxiety about loss of memory (finding)
702535006,Anxiety about breathlessness (finding)
247825008,Anxiety about behavior or performance (finding)
225638007,Anxiety about resuming sexual relations (finding)
225643000,Anxiety about making mistakes (finding)
277838008,Anxiety about appearing ridiculous (finding)
277839000,Anxiety about saying the wrong thing (finding)
413301003,Feels at risk of crime in the neighborhood (finding)
82248001,Euthymic mood (finding)
87521009,Dispiritment (finding)
87690005,Unpleasurable affect (finding)
9066006,Feeling of discouragement (finding)
281129008,Variability of mood (finding)
365107007,Finding of level of mood (finding)
112080002,Cheerful mood (finding)
225455004,Sociable mood (finding)
11542009,Loss of affect (finding)
80608005,Appropriate affect (finding)
81548002,Elevated mood (finding)
281257007,Hypomanic mood (finding)
34822003,Elation (finding)
286582007,Ecstatic (finding)
85949006,Euphoria (finding)
307074005,Feeling high (finding)
286638005,Exhilaration (finding)
162727007,On examination - elated (finding)
405273008,Manic mood (finding)
424009001,Fears delivery procedure (finding)
365129006,Finding of level of hope (finding)
225649001,Hopeful for the future (finding)
247798006,Loss of hope for the future (finding)
225648009,Optimistic (finding)
247784003,Overoptimism (finding)
247799003,Pessimistic (finding)
307077003,Feeling hopeless (finding)
716397008,Able to be optimistic (finding)
365118007,Finding of stability of mood (finding)
225658008,Mood stable (finding)
134417007,Level of mood - normal (finding)
386782008,Disturbance in affect (finding)
191664002,Rebound mood swings (finding)
386798001,Affective personality trait (finding)
46460004,Hypomanic personality trait (finding)
1402001,Fear (finding)
225634009,Terrified (finding)
247828005,Fear of going out (finding)
247830007,Fear of open spaces (finding)
247832004,Social fear (finding)
247845000,Specific fear (finding)
102918006,Microphobia (finding)
102922001,Tocophobia (finding)
102923006,Teratophobia (finding)
247848003,Fear of animals (finding)
19512009,Fear of insects (finding)
102916005,Arachnophobia (finding)
403592009,Acarophobia (finding)
247850006,Fear of enclosed spaces (finding)
247851005,Fear of tunnels (finding)
247852003,Fear of phone boxes (finding)
247853008,Fear of flying (finding)
276241001,Fear of heights (finding)
31492004,Fear of school (finding)
54746005,Erotophobia (finding)
397775001,Fear of transport (finding)
398304003,Fear of traveling in vehicles (finding)
401269004,Fear of falling (finding)
415136009,Ponophobia (finding)
288241000119105,Fear of bridges (finding)
288251000119107,Fear of injury (finding)
424958004,Fear of reaction regarding family planning choices (finding)
704424002,Fear of being a burden to others (finding)
705047004,Fear of contagion (finding)
247855001,Fear associated with illness and body function (finding)
102912007,Fear of death (finding)
102915009,Nosophobia (finding)
247866008,Fear of contracting disease (finding)
102919003,Fear of infection (finding)
102920009,Fear of contracting human immunodeficiency virus infection (finding)
247868009,Fear of contracting venereal disease (finding)
403591002,Ritual hand washing (finding)
247869001,Fear of contracting radiation sickness (finding)
34563004,Fear of getting cancer (finding)
102917001,Fear of blood (finding)
102921008,Toxicophobia (finding)
247815003,Fear of swallowing (finding)
439576009,Fear of drinking liquids due to dysphagia (finding)
247818001,Fear of having a heart attack (finding)
24109003,Bromhidrosiphobia (finding)
699391000,Fear of deafness (finding)
286568007,Fear associated with healthcare (finding)
225630000,Fear of dentist (finding)
110357006,Unrealistic dental phobia (finding)
714667008,Fear about medication side effects (finding)
162720009,On examination - afraid (finding)
423170008,Fear of abuse (finding)
704423008,Fear of abandonment (finding)
49971008,Apprehension (finding)
416383008,Abnormal affect (finding)
281143003,Passivity of affect (finding)
28290006,Inappropriate affect (finding)
39370001,Restricted affect (finding)
6140007,Blunted affect (finding)
88729006,Labile affect (finding)
932006,Flat affect (finding)
420038007,Feeling unhappy (finding)
272024005,Complaining of feeling unhappy (finding)
421369008,Emotional hypersensitivity (finding)
310480000,Complaining of tearfulness (finding)
425363002,Smiling (finding)
134416003,Normal mood symptoms (finding)
274646000,Irritability and anger (finding)
366979004,Depressed mood (finding)
272022009,Complaining of feeling depressed (finding)
704678007,Depressed mood with postpartum onset (finding)
276302000,Feeling of loss of feeling (finding)
225873007,Finding relating to grief and dying (finding)
224965009,Grief finding (finding)
74506000,Bereavement due to life event (finding)
225021007,Abnormal grief reaction to life event (finding)
424773009,Fails to recognize stages of grief (finding)
423136007,Difficulty coping with grief responses (finding)
225614008,Unexpected bereavement due to life event (finding)
225615009,Sudden bereavement due to life event (finding)
304636008,Guided mourning (finding)
3763000,Expected bereavement due to life event (finding)
130966005,Chronic sorrow following life event (finding)
397847006,Family bereavement (finding)
427589004,Complicated grieving (finding)
14621004,Anticipatory grief (finding)
225020008,Grieving before death (finding)
53339009,Dysfunctional grieving (finding)
365241005,Finding of grieving process stage (finding)
225024004,Guilt stage of grief (finding)
225025003,Despair stage of grief (finding)
225026002,Anger stage of grief (finding)
225027006,Reflecting stage of grief (finding)
225029009,Acceptance stage of grief (finding)
225030004,Bargaining stage of grief (finding)
225031000,Denial stage of grief (finding)
425218000,Conflicting stages of grief (finding)
424068007,Conflicting stages of grief among family members (finding)
225022000,Adapting to loss following bereavement (finding)
225023005,Working through the pain of grief (finding)
225028001,Coming to terms with loss (finding)
304243005,Coming to terms with dying (finding)
279644004,Normal grief reaction to life event (finding)
225872002,Patient aware of carer's feelings about dying (finding)
225875000,Thoughts about dying (finding)
225876004,Wanting to die (finding)
304244004,Carer aware of patient's feelings about dying (finding)
102498003,Agony (finding)
409029008,Finding related to dying process (finding)
288545008,Showing emotion (finding)
51078006,Laughing (finding)
18318000,Infatuation (finding)
27764006,Nonacceptance of illness (finding)
28669007,Anhedonia (finding)
35991009,Aversion (finding)
40634001,Hyperemotivity (finding)
45763006,Demoralization (finding)
47544006,Exaltation (finding)
53489000,Tension (finding)
105485001,Family tension (finding)
302202009,Tower block syndrome (finding)
263897001,Feeling tense (finding)
224970002,Feeling wound up (finding)
250070007,Feeling physically tense (finding)
425131000,Nervous tension (finding)
423157004,Unrelieved tension (finding)
54038000,Insecurity (finding)
67877007,Ecstasy (finding)
77416000,Jealousy (finding)
83765003,Boredom (finding)
247795009,Tedium vitae (finding)
89561004,Hypoemotivity (finding)
247805009,Anxiety and fear (finding)
271596009,Mental distress (finding)
365151003,Finding of capacity for emotion (finding)
285842004,Normal capacity for emotion (finding)
34413007,Alexithymia (finding)
45991007,Loss of capacity to feel emotions (finding)
365164002,Finding of capacity for enjoyment (finding)
285843009,Maintained capacity for enjoyment (finding)
365175003,Finding of enjoyment of life (finding)
247796005,Loss of capacity for enjoyment (finding)
430641005,Markedly diminished pleasure (finding)
365186001,Finding of expression of emotions (finding)
225652009,Lack of emotional response (finding)
225650001,Emotionally subdued (finding)
285846001,Emotionally cold (finding)
285847005,Emotionally distant (finding)
247792007,Suppressed emotion (finding)
365197001,Finding related to ability to control emotions (finding)
285850008,Able to control emotions (finding)
716807006,Able to manage own aggression (finding)
285851007,Unable to control emotions (finding)
285852000,Difficulty controlling emotions (finding)
285849008,Difficulty controlling anger (finding)
365208007,Finding related to ability to control anger (finding)
365219005,Finding related to ability to understand own emotions (finding)
224999007,Does not understand own emotions (finding)
285844003,Able to understand own emotions (finding)
285845002,Unable to understand own emotions (finding)
286569004,Difficulty understanding own emotions (finding)
365230008,Finding of emotional adjustment (finding)
225003009,Immature emotional adjustment (finding)
285853005,Mature emotional adjustment (finding)
301846009,Empty nest syndrome (finding)
93831000119104,Adjustment to life threatening illness (finding)
224969003,Feeling excited (finding)
224972005,Feeling bitter (finding)
224973000,Feeling frustrated (finding)
224976008,Feeling trapped (finding)
224975007,Feeling like wanting to escape (finding)
224978009,Feeling relief (finding)
225009008,Feeling lost (finding)
225010003,Feeling a failure (finding)
225011004,Feeling dirty (finding)
225012006,Feeling ashamed (finding)
225013001,Feeling bad (finding)
225014007,Feeling empty (finding)
225015008,Feeling abandoned (finding)
225017000,Feeling unwanted (finding)
225018005,Feeling unloved (finding)
225019002,Feeling emotionally hurt (finding)
225457007,Feeling suicidal (finding)
247775003,Feeling of being slowed down (finding)
267076002,Feeling lonely (finding)
271599002,Feeling content (finding)
162728002,On examination - content (finding)
307048004,Feeling isolated (finding)
307049007,Feeling alienated (finding)
307075006,Feeling diffident (finding)
16320008,Feeling mixed emotions (finding)
16962006,Feeling hatred (finding)
23682002,Love (finding)
24199005,Feeling agitated (finding)
247908007,Squirming (finding)
247910009,Fidgeting (finding)
284514000,Continuously shifting in seat (finding)
162721008,On examination - agitated (finding)
33300005,Feeling powerless (finding)
13740005,"Powerlessness, low (finding)"
19391002,"Powerlessness, moderate (finding)"
59602008,"Powerlessness, severe (finding)"
7571003,Feeling guilt (finding)
247893006,Pathological guilt (finding)
302759005,Guilty ideas of reference (finding)
267097001,Guilty ideas (finding)
225459005,Emotionally warm (finding)
225458002,Caring towards others (finding)
247806005,Ill-at-ease (finding)
386816005,Emotional problems (finding)
284486006,Emotionally deprived (finding)
284487002,Extremely emotionally deprived (finding)
309838005,Emotional upset (finding)
39178003,Emotional impulsivity (finding)
76187003,Emotional immaturity (finding)
224977004,Feeling upset (finding)
162718006,On examination - distressed (finding)
409068001,Normal emotional state (finding)
424196004,Feeling nervous (finding)
300943008,Pre-examination nerves (finding)
162189001,General nervous symptoms (finding)
162190005,No nervous symptoms (finding)
162724000,On examination - nervous (finding)
48694002,Anxiety (finding)
279622009,Performance anxiety (finding)
231507004,Stage fright (finding)
129869000,Death anxiety (finding)
198288003,Anxiety state (finding)
207363009,Anxiety neurosis (finding)
191708009,Chronic anxiety (finding)
191709001,Recurrent anxiety (finding)
231506008,Anxiety hysteria (finding)
386808001,Phobia (finding)
102913002,Taphophobia (finding)
102924000,Pyrophobia (finding)
102925004,Astrapophobia (finding)
102927007,Nyctophobia (finding)
102928002,Theophobia (finding)
102929005,Androphobia (finding)
102930000,Gynephobia (finding)
102931001,Fear of heart attack (finding)
102932008,Fear of hypertension (finding)
110358001,Heightened global phobia (finding)
191733007,Fear of pregnancy (finding)
198280005,Parasitophobia (finding)
19887002,Claustrophobia (finding)
231501003,Needle phobia (finding)
247854002,Flying phobia (finding)
271947006,School phobia (finding)
280947008,Examination phobia (finding)
313387002,Phonophobia (finding)
34652008,Xenophobia (finding)
370567003,Noise phobia (finding)
38617005,Dental phobia (finding)
54307006,Zoophobia (finding)
58963008,Acrophobia (finding)
75007009,Algophobia (finding)
440575001,Aerophobia (finding)
300895004,Anxiety attack (finding)
35429005,Anticipatory anxiety (finding)
36646009,"Anticipatory anxiety, moderate (finding)"
5874002,"Anticipatory anxiety, severe (finding)"
11458009,"Anticipatory anxiety, mild (finding)"
79823003,Panic (finding)
225624000,Panic attack (finding)
231502005,Situational panic attack (finding)
231503000,Non-situational panic attack (finding)
395017009,Complaining of panic attack (finding)
417676004,On examination - panic attack (finding)
80583007,Severe anxiety (panic) (finding)
81350009,Free-floating anxiety (finding)
162723006,On examination - anxious (finding)
386738004,Multiple somatic complaints (finding)
449892005,Feeling safe (finding)
708891002,Emotionally stable (finding)
713460009,Denial about illness severity (finding)
106139001,Personality AND/OR personality trait (finding)
102943000,Personality change (finding)
192496000,Non-organic enduring personality change (finding)
192498004,Enduring personality change after psychiatric illness (finding)
268729004,Enduring personality change after catastrophic experience (finding)
61921000119107,Personality change due to organic disorder (finding)
67331009,Character trait finding (finding)
162219004,Tends to resent authority (finding)
224951007,Mature personality (finding)
225623006,Character trait finding of self-consciousness (finding)
286694005,Tends to be self-conscious (finding)
286695006,Tends not to be self-conscious (finding)
112091009,Obsessive-compulsive personality trait (finding)
286703002,Character trait finding of predisposition to startle (finding)
286704008,Predisposed to startle (finding)
286705009,Low predisposition to startle (finding)
286706005,Character trait finding of tolerance of boredom (finding)
286707001,Tends to tolerate boredom (finding)
286708006,Tends not to tolerate boredom (finding)
286709003,Character trait finding of level of anxiety (finding)
286710008,Anxious character (finding)
286711007,Over-anxious character (finding)
286712000,Fearful character (finding)
286713005,Calm character (finding)
286714004,Character trait finding of emotional warmth (finding)
286715003,Emotionally warm character (finding)
286718001,Affectionate character (finding)
286716002,Emotionally cool character (finding)
286717006,Emotionally blunted character (finding)
286719009,Character trait finding of level of sociability (finding)
286720003,Sociable character (finding)
286721004,Highly sociable character (finding)
286722006,Gregarious character (finding)
90716005,Tends not to be sociable (finding)
286723001,Tends to avoid group social interactions (finding)
286724007,Tends to avoid one to one social interactions (finding)
286725008,Character trait finding of co-operativeness and compliance (finding)
286727000,Co-operative character (finding)
286728005,Compliant character (finding)
286729002,Uncooperative character (finding)
286730007,Non-compliant character (finding)
286731006,Obstinate character (finding)
286732004,Rebellious character (finding)
307080002,Over-compliant character (finding)
286726009,Character trait finding of empathic sensitivity (finding)
286733009,Empathic character (finding)
286734003,Callous character (finding)
286735002,Character trait finding of affective stability (finding)
286736001,Tends to be stable in affect (finding)
286739008,Character trait finding of task completion (finding)
286740005,Tenacious character (finding)
286741009,Tends to abandon tasks (finding)
286743007,Tends to procrastinate (finding)
286744001,Character trait finding of level of optimism (finding)
286745000,Optimistic character (finding)
286746004,Pessimistic character (finding)
286753008,Character trait finding of impulse control (finding)
286754002,Patient character (finding)
286755001,Impatient character (finding)
286757009,Tends to be intolerant of frustration (finding)
286756000,Impulsive character (finding)
286758004,Character trait finding of personal organization (finding)
286759007,Tends to plan ahead (finding)
286760002,Tends not to plan ahead (finding)
286761003,Erratic character (finding)
286762005,Character trait finding of level of pride (finding)
