model,file,turn,protocol,shift
Mistral,cbt_mcot_transcript_14.json,5,socratic,0.03265
Mistral,cbt_mcot_transcript_14.json,6,validation,0.024185
Mistral,cbt_mcot_transcript_14.json,7,alternative,0.046428
Mistral,cbt_mcot_transcript_14.json,8,socratic,0.112853
Mistral,cbt_mcot_transcript_14.json,9,socratic,0.102498
Mistral,cbt_mcot_transcript_2.json,0,validation,-0.111415
Mistral,cbt_mcot_transcript_2.json,1,socratic,0.175316
Mistral,cbt_mcot_transcript_2.json,2,validation,0.185802
Mistral,cbt_mcot_transcript_2.json,3,socratic,0.189528
Mistral,cbt_mcot_transcript_2.json,4,socratic,0.187005
Mistral,cbt_mcot_transcript_2.json,5,validation,0.010137
Mistral,cbt_mcot_transcript_2.json,6,validation,0.172366
Mistral,cbt_mcot_transcript_2.json,7,validation,0.072621
Mistral,cbt_mcot_transcript_2.json,8,validation,0.073174
Mistral,cbt_mcot_transcript_2.json,9,validation,-0.087066
Mistral,cbt_mcot_transcript_3.json,0,alternative,0.231349
Mistral,cbt_mcot_transcript_3.json,1,validation,-0.008556
Mistral,cbt_mcot_transcript_3.json,2,validation,0.004355
Mistral,cbt_mcot_transcript_3.json,3,validation,-0.179477
Mistral,cbt_mcot_transcript_3.json,4,socratic,0.258688
Mistral,cbt_mcot_transcript_3.json,5,socratic,-0.124987
Mistral,cbt_mcot_transcript_3.json,6,socratic,-0.078632
Mistral,cbt_mcot_transcript_3.json,7,alternative,0.098989
Mistral,cbt_mcot_transcript_3.json,8,socratic,0.111122
Mistral,cbt_mcot_transcript_3.json,9,socratic,0.249608
Mistral,cbt_mcot_transcript_4.json,0,validation,0.025729
Mistral,cbt_mcot_transcript_4.json,1,validation,-0.107958
Mistral,cbt_mcot_transcript_4.json,2,validation,0.089208
Mistral,cbt_mcot_transcript_4.json,3,validation,0.064465
Mistral,cbt_mcot_transcript_4.json,4,socratic,-0.098846
Mistral,cbt_mcot_transcript_4.json,5,validation,0.064543
Mistral,cbt_mcot_transcript_4.json,6,validation,-0.148415
Mistral,cbt_mcot_transcript_4.json,7,validation,-0.087403
Mistral,cbt_mcot_transcript_4.json,8,validation,0.119536
Mistral,cbt_mcot_transcript_4.json,9,alternative,0.138514
Mistral,cbt_mcot_transcript_5.json,0,socratic,-0.073112
Mistral,cbt_mcot_transcript_5.json,1,validation,-0.095433
Mistral,cbt_mcot_transcript_5.json,2,validation,-0.078345
Mistral,cbt_mcot_transcript_5.json,3,validation,-0.050918
Mistral,cbt_mcot_transcript_5.json,4,socratic,0.420146
Mistral,cbt_mcot_transcript_5.json,5,validation,-0.037029
Mistral,cbt_mcot_transcript_5.json,6,socratic,-0.051818
Mistral,cbt_mcot_transcript_5.json,7,alternative,0.289207
Mistral,cbt_mcot_transcript_5.json,8,validation,-0.020369
Mistral,cbt_mcot_transcript_5.json,9,validation,0.042441
Mistral,cbt_mcot_transcript_6.json,0,socratic,0.105407
Mistral,cbt_mcot_transcript_6.json,1,validation,0.02069
Mistral,cbt_mcot_transcript_6.json,2,validation,-0.013205
Mistral,cbt_mcot_transcript_6.json,3,validation,-0.260383
Mistral,cbt_mcot_transcript_6.json,4,validation,0.076158
Mistral,cbt_mcot_transcript_6.json,5,socratic,0.10808
Mistral,cbt_mcot_transcript_6.json,6,socratic,0.105912
Mistral,cbt_mcot_transcript_6.json,7,validation,0.158962
Mistral,cbt_mcot_transcript_6.json,8,validation,0.23418
Mistral,cbt_mcot_transcript_6.json,9,alternative,-0.029391
Mistral,cbt_mcot_transcript_7.json,0,alternative,0.165377
Mistral,cbt_mcot_transcript_7.json,1,validation,-0.26808
Mistral,cbt_mcot_transcript_7.json,2,validation,0.087966
Mistral,cbt_mcot_transcript_7.json,3,validation,0.001629
Mistral,cbt_mcot_transcript_7.json,4,validation,0.224954
Mistral,cbt_mcot_transcript_7.json,5,socratic,0.042895
Mistral,cbt_mcot_transcript_7.json,6,socratic,0.115352
Mistral,cbt_mcot_transcript_7.json,7,socratic,0.106186
Mistral,cbt_mcot_transcript_7.json,8,socratic,0.23269
Mistral,cbt_mcot_transcript_7.json,9,validation,-0.08644
Mistral,cbt_mcot_transcript_8.json,0,validation,-0.068422
Mistral,cbt_mcot_transcript_8.json,1,validation,-0.082044
Mistral,cbt_mcot_transcript_8.json,2,validation,-0.003981
Mistral,cbt_mcot_transcript_8.json,3,validation,-0.128671
Mistral,cbt_mcot_transcript_8.json,4,validation,-0.070297
Mistral,cbt_mcot_transcript_8.json,5,validation,0.109872
Mistral,cbt_mcot_transcript_8.json,6,socratic,0.101566
Mistral,cbt_mcot_transcript_8.json,7,socratic,0.563882
Mistral,cbt_mcot_transcript_8.json,8,alternative,-0.078161
Mistral,cbt_mcot_transcript_8.json,9,socratic,-0.066045
Mistral,cbt_mcot_transcript_9.json,0,alternative,0.159641
Mistral,cbt_mcot_transcript_9.json,1,validation,0.046937
Mistral,cbt_mcot_transcript_9.json,2,validation,-0.043509
Mistral,cbt_mcot_transcript_9.json,3,validation,-0.116371
Mistral,cbt_mcot_transcript_9.json,4,alternative,-0.01218
Mistral,cbt_mcot_transcript_9.json,5,validation,-0.123514
Mistral,cbt_mcot_transcript_9.json,6,alternative,0.218145
Mistral,cbt_mcot_transcript_9.json,7,alternative,-0.032544
Mistral,cbt_mcot_transcript_9.json,8,validation,0.086153
Mistral,cbt_mcot_transcript_9.json,9,validation,0.092901
GPT,cbt_mcot_transcript_1.json,0,socratic,0.187083
GPT,cbt_mcot_transcript_1.json,1,validation,-0.03947
GPT,cbt_mcot_transcript_1.json,2,validation,-0.211736
GPT,cbt_mcot_transcript_1.json,3,validation,-0.130515
GPT,cbt_mcot_transcript_1.json,4,socratic,0.022984
GPT,cbt_mcot_transcript_1.json,5,validation,-0.087059
GPT,cbt_mcot_transcript_1.json,6,validation,-0.079239
GPT,cbt_mcot_transcript_1.json,7,validation,-0.05915
GPT,cbt_mcot_transcript_1.json,8,validation,-0.311209
GPT,cbt_mcot_transcript_1.json,9,validation,-0.257596
GPT,cbt_mcot_transcript_10.json,0,validation,-0.13914
GPT,cbt_mcot_transcript_10.json,1,validation,-0.084924
GPT,cbt_mcot_transcript_10.json,2,validation,0.024177
GPT,cbt_mcot_transcript_10.json,3,validation,0.032326
GPT,cbt_mcot_transcript_10.json,4,validation,0.102613
GPT,cbt_mcot_transcript_10.json,5,validation,-0.005144
GPT,cbt_mcot_transcript_10.json,6,validation,-0.008304
GPT,cbt_mcot_transcript_10.json,7,validation,-0.061823
GPT,cbt_mcot_transcript_10.json,8,validation,0.017266
GPT,cbt_mcot_transcript_10.json,9,validation,0.006372
GPT,cbt_mcot_transcript_11.json,0,validation,0.027431
GPT,cbt_mcot_transcript_11.json,1,validation,-0.063314
GPT,cbt_mcot_transcript_11.json,2,validation,0.185878
GPT,cbt_mcot_transcript_11.json,3,validation,0.182769
GPT,cbt_mcot_transcript_11.json,4,validation,-0.110414
GPT,cbt_mcot_transcript_11.json,5,validation,-0.255084
GPT,cbt_mcot_transcript_11.json,6,validation,-0.148167
GPT,cbt_mcot_transcript_11.json,7,validation,0.041112
GPT,cbt_mcot_transcript_11.json,8,validation,-0.081567
GPT,cbt_mcot_transcript_11.json,9,validation,-0.002504
GPT,cbt_mcot_transcript_12.json,0,validation,0.037325
GPT,cbt_mcot_transcript_12.json,1,validation,-0.026403
GPT,cbt_mcot_transcript_12.json,2,validation,-0.041436
GPT,cbt_mcot_transcript_12.json,3,validation,-0.109809
GPT,cbt_mcot_transcript_12.json,4,validation,-0.043627
GPT,cbt_mcot_transcript_12.json,5,validation,0.192851
GPT,cbt_mcot_transcript_12.json,6,validation,-0.024751
GPT,cbt_mcot_transcript_12.json,7,socratic,-0.197997
GPT,cbt_mcot_transcript_12.json,8,socratic,0.160198
GPT,cbt_mcot_transcript_12.json,9,validation,0.083315
GPT,cbt_mcot_transcript_13.json,0,socratic,0.214341
GPT,cbt_mcot_transcript_13.json,1,validation,-0.10891
GPT,cbt_mcot_transcript_13.json,2,validation,-0.070891
GPT,cbt_mcot_transcript_13.json,3,validation,0.056977
GPT,cbt_mcot_transcript_13.json,4,validation,-0.06688
GPT,cbt_mcot_transcript_13.json,5,validation,-0.030239
GPT,cbt_mcot_transcript_13.json,6,validation,0.011577
GPT,cbt_mcot_transcript_13.json,7,validation,-0.160219
GPT,cbt_mcot_transcript_13.json,8,validation,-0.318477
GPT,cbt_mcot_transcript_13.json,9,validation,-0.285426
GPT,cbt_mcot_transcript_14.json,0,validation,-0.0209
GPT,cbt_mcot_transcript_14.json,1,validation,-0.182001
GPT,cbt_mcot_transcript_14.json,2,validation,0.066801
GPT,cbt_mcot_transcript_14.json,3,validation,0.135535
GPT,cbt_mcot_transcript_14.json,4,socratic,-0.041666
GPT,cbt_mcot_transcript_14.json,5,socratic,-0.314905
GPT,cbt_mcot_transcript_14.json,6,validation,-0.234773
GPT,cbt_mcot_transcript_14.json,7,validation,-0.113305
GPT,cbt_mcot_transcript_14.json,8,validation,-0.192876
GPT,cbt_mcot_transcript_14.json,9,validation,0.046824
GPT,cbt_mcot_transcript_2.json,0,validation,0.036234
GPT,cbt_mcot_transcript_2.json,1,validation,0.333557
GPT,cbt_mcot_transcript_2.json,2,validation,0.004331
GPT,cbt_mcot_transcript_2.json,3,socratic,-0.081188
GPT,cbt_mcot_transcript_2.json,4,socratic,0.181705
GPT,cbt_mcot_transcript_2.json,5,socratic,0.060114
GPT,cbt_mcot_transcript_2.json,6,validation,-0.011716
GPT,cbt_mcot_transcript_2.json,7,socratic,-0.060127
GPT,cbt_mcot_transcript_2.json,8,socratic,-0.27303
GPT,cbt_mcot_transcript_2.json,9,socratic,-0.088683
GPT,cbt_mcot_transcript_3.json,0,validation,-0.229535
GPT,cbt_mcot_transcript_3.json,1,validation,-0.002937
GPT,cbt_mcot_transcript_3.json,2,validation,-0.098288
GPT,cbt_mcot_transcript_3.json,3,validation,-0.013963
GPT,cbt_mcot_transcript_3.json,4,validation,-0.135146
GPT,cbt_mcot_transcript_3.json,5,socratic,-0.010632
GPT,cbt_mcot_transcript_3.json,6,validation,0.088221
GPT,cbt_mcot_transcript_3.json,7,socratic,0.361727
GPT,cbt_mcot_transcript_3.json,8,validation,0.128499
GPT,cbt_mcot_transcript_3.json,9,validation,-0.06486
GPT,cbt_mcot_transcript_4.json,0,validation,-0.027946
GPT,cbt_mcot_transcript_4.json,1,validation,-0.070846
GPT,cbt_mcot_transcript_4.json,2,validation,0.002625
GPT,cbt_mcot_transcript_4.json,3,validation,-0.162631
GPT,cbt_mcot_transcript_4.json,4,validation,-0.310017
GPT,cbt_mcot_transcript_4.json,5,validation,-0.215726
GPT,cbt_mcot_transcript_4.json,6,validation,-0.221867
GPT,cbt_mcot_transcript_4.json,7,validation,-0.26618
GPT,cbt_mcot_transcript_4.json,8,validation,-0.116338
GPT,cbt_mcot_transcript_4.json,9,validation,-0.141719
GPT,cbt_mcot_transcript_5.json,0,validation,-0.070477
GPT,cbt_mcot_transcript_5.json,1,validation,-0.145848
GPT,cbt_mcot_transcript_5.json,2,validation,-0.083102
GPT,cbt_mcot_transcript_5.json,3,validation,0.018136
GPT,cbt_mcot_transcript_5.json,4,validation,0.051499
GPT,cbt_mcot_transcript_5.json,5,validation,0.116915
GPT,cbt_mcot_transcript_5.json,6,validation,0.034806
GPT,cbt_mcot_transcript_5.json,7,validation,0.039102
GPT,cbt_mcot_transcript_5.json,8,validation,-0.186331
GPT,cbt_mcot_transcript_5.json,9,validation,-0.05328
GPT,cbt_mcot_transcript_6.json,0,validation,0.048577
GPT,cbt_mcot_transcript_6.json,1,socratic,0.175396
GPT,cbt_mcot_transcript_6.json,2,validation,-0.001219
GPT,cbt_mcot_transcript_6.json,3,validation,-0.334162
GPT,cbt_mcot_transcript_6.json,4,validation,-0.093336
GPT,cbt_mcot_transcript_6.json,5,socratic,0.266364
GPT,cbt_mcot_transcript_6.json,6,validation,0.10522
GPT,cbt_mcot_transcript_6.json,7,socratic,0.167472
GPT,cbt_mcot_transcript_6.json,8,validation,0.055873
GPT,cbt_mcot_transcript_6.json,9,validation,-0.017768
GPT,cbt_mcot_transcript_7.json,0,validation,0.05362
GPT,cbt_mcot_transcript_7.json,1,validation,-0.038106
GPT,cbt_mcot_transcript_7.json,2,validation,-0.026452
GPT,cbt_mcot_transcript_7.json,3,validation,-0.199196
GPT,cbt_mcot_transcript_7.json,4,validation,0.188502
GPT,cbt_mcot_transcript_7.json,5,socratic,0.00077
GPT,cbt_mcot_transcript_7.json,6,validation,-0.116327
GPT,cbt_mcot_transcript_7.json,7,validation,-0.044119
GPT,cbt_mcot_transcript_7.json,8,validation,0.153815
GPT,cbt_mcot_transcript_7.json,9,validation,-0.271014
GPT,cbt_mcot_transcript_8.json,0,validation,-0.20333
GPT,cbt_mcot_transcript_8.json,1,validation,-0.090492
GPT,cbt_mcot_transcript_8.json,2,validation,0.031594
GPT,cbt_mcot_transcript_8.json,3,validation,-0.169982
GPT,cbt_mcot_transcript_8.json,4,validation,0.064698
GPT,cbt_mcot_transcript_8.json,5,validation,-0.058857
GPT,cbt_mcot_transcript_8.json,6,validation,-0.043491
GPT,cbt_mcot_transcript_8.json,7,validation,-0.020355
GPT,cbt_mcot_transcript_8.json,8,validation,-0.035601
GPT,cbt_mcot_transcript_8.json,9,socratic,0.124764
GPT,cbt_mcot_transcript_9.json,0,validation,0.003684
GPT,cbt_mcot_transcript_9.json,1,validation,-0.130867
GPT,cbt_mcot_transcript_9.json,2,socratic,0.236886
GPT,cbt_mcot_transcript_9.json,3,socratic,0.114119
GPT,cbt_mcot_transcript_9.json,4,socratic,0.329833
GPT,cbt_mcot_transcript_9.json,5,socratic,0.024062
GPT,cbt_mcot_transcript_9.json,6,socratic,0.141104
GPT,cbt_mcot_transcript_9.json,7,validation,0.014613
GPT,cbt_mcot_transcript_9.json,8,validation,-0.218213
GPT,cbt_mcot_transcript_9.json,9,validation,-0.061058
Gemma,cbt_mcot_transcript_1.json,0,socratic,0.131009
Gemma,cbt_mcot_transcript_1.json,1,socratic,-0.140942
Gemma,cbt_mcot_transcript_1.json,2,socratic,-0.062826
Gemma,cbt_mcot_transcript_1.json,3,socratic,-0.089091
Gemma,cbt_mcot_transcript_1.json,4,socratic,0.311829
Gemma,cbt_mcot_transcript_1.json,5,socratic,-0.04169
Gemma,cbt_mcot_transcript_1.json,6,socratic,-0.041137
Gemma,cbt_mcot_transcript_1.json,7,socratic,0.044997
Gemma,cbt_mcot_transcript_1.json,8,socratic,-0.008365
Gemma,cbt_mcot_transcript_1.json,9,socratic,-0.097265
Gemma,cbt_mcot_transcript_10.json,0,socratic,-0.082133
Gemma,cbt_mcot_transcript_10.json,1,socratic,-0.136336
Gemma,cbt_mcot_transcript_10.json,2,validation,-0.122116
Gemma,cbt_mcot_transcript_10.json,3,socratic,0.071096
Gemma,cbt_mcot_transcript_10.json,4,socratic,0.295004
Gemma,cbt_mcot_transcript_10.json,5,socratic,-0.025122
Gemma,cbt_mcot_transcript_10.json,6,alternative,0.183936
Gemma,cbt_mcot_transcript_10.json,7,socratic,-0.006171
Gemma,cbt_mcot_transcript_10.json,8,socratic,-0.02527
Gemma,cbt_mcot_transcript_10.json,9,socratic,0.084382
Gemma,cbt_mcot_transcript_11.json,0,socratic,0.03508
Gemma,cbt_mcot_transcript_11.json,1,socratic,-0.006908
Gemma,cbt_mcot_transcript_11.json,2,socratic,0.004858
Gemma,cbt_mcot_transcript_11.json,3,socratic,-0.048111
Gemma,cbt_mcot_transcript_11.json,4,socratic,-0.034226
Gemma,cbt_mcot_transcript_11.json,5,socratic,-0.006208
Gemma,cbt_mcot_transcript_11.json,6,socratic,0.060193
Gemma,cbt_mcot_transcript_11.json,7,validation,-0.11267
Gemma,cbt_mcot_transcript_11.json,8,socratic,0.09864
Gemma,cbt_mcot_transcript_11.json,9,socratic,0.094394
Gemma,cbt_mcot_transcript_12.json,0,socratic,0.099457
Gemma,cbt_mcot_transcript_12.json,1,socratic,-0.004239
Gemma,cbt_mcot_transcript_12.json,2,socratic,-0.02835
Gemma,cbt_mcot_transcript_12.json,3,socratic,-0.148232
Gemma,cbt_mcot_transcript_12.json,4,socratic,0.00098
Gemma,cbt_mcot_transcript_12.json,5,socratic,-0.044917
Gemma,cbt_mcot_transcript_12.json,6,socratic,0.104516
Gemma,cbt_mcot_transcript_12.json,7,socratic,-0.282734
Gemma,cbt_mcot_transcript_12.json,8,validation,-0.085333
Gemma,cbt_mcot_transcript_12.json,9,socratic,-0.213982
Gemma,cbt_mcot_transcript_13.json,0,socratic,0.229325
Gemma,cbt_mcot_transcript_13.json,1,socratic,-0.216051
Gemma,cbt_mcot_transcript_13.json,2,socratic,-0.253862
Gemma,cbt_mcot_transcript_13.json,3,socratic,-0.078522
Gemma,cbt_mcot_transcript_13.json,4,socratic,-0.052649
Gemma,cbt_mcot_transcript_13.json,5,socratic,0.075603
Gemma,cbt_mcot_transcript_13.json,6,socratic,0.072912
Gemma,cbt_mcot_transcript_13.json,7,validation,-0.266622
Gemma,cbt_mcot_transcript_13.json,8,socratic,0.047498
Gemma,cbt_mcot_transcript_13.json,9,validation,-0.179782
Gemma,cbt_mcot_transcript_14.json,0,validation,-0.091661
Gemma,cbt_mcot_transcript_14.json,1,validation,-0.122183
Gemma,cbt_mcot_transcript_14.json,2,socratic,0.032165
Gemma,cbt_mcot_transcript_14.json,3,socratic,-0.074845
Gemma,cbt_mcot_transcript_14.json,4,socratic,-0.059508
Gemma,cbt_mcot_transcript_14.json,5,socratic,0.050302
Gemma,cbt_mcot_transcript_14.json,6,validation,-0.058147
Gemma,cbt_mcot_transcript_14.json,7,socratic,-0.130817
Gemma,cbt_mcot_transcript_14.json,8,validation,-0.10078
Gemma,cbt_mcot_transcript_14.json,9,socratic,-0.117743
Gemma,cbt_mcot_transcript_2.json,0,socratic,0.015673
Gemma,cbt_mcot_transcript_2.json,1,validation,-0.195484
Gemma,cbt_mcot_transcript_2.json,2,socratic,-0.046964
Gemma,cbt_mcot_transcript_2.json,3,socratic,-0.024276
Gemma,cbt_mcot_transcript_2.json,4,validation,-0.017588
Gemma,cbt_mcot_transcript_2.json,5,validation,-0.18193
Gemma,cbt_mcot_transcript_2.json,6,validation,0.066572
Gemma,cbt_mcot_transcript_2.json,7,validation,-0.079556
Gemma,cbt_mcot_transcript_2.json,8,socratic,0.134953
Gemma,cbt_mcot_transcript_2.json,9,validation,0.017934
Gemma,cbt_mcot_transcript_3.json,0,validation,-0.196593
Gemma,cbt_mcot_transcript_3.json,1,validation,-0.024944
Gemma,cbt_mcot_transcript_3.json,2,socratic,0.330716
Gemma,cbt_mcot_transcript_3.json,3,socratic,-0.144078
Gemma,cbt_mcot_transcript_3.json,4,socratic,-0.172673
Gemma,cbt_mcot_transcript_3.json,5,socratic,-0.022649
Gemma,cbt_mcot_transcript_3.json,6,socratic,0.03502
Gemma,cbt_mcot_transcript_3.json,7,socratic,0.044565
Gemma,cbt_mcot_transcript_3.json,8,socratic,0.179766
Gemma,cbt_mcot_transcript_3.json,9,socratic,0.383049
Gemma,cbt_mcot_transcript_4.json,0,validation,-0.025387
Gemma,cbt_mcot_transcript_4.json,1,validation,-0.041436
Gemma,cbt_mcot_transcript_4.json,2,validation,-0.045609
Gemma,cbt_mcot_transcript_4.json,3,socratic,-0.176071
Gemma,cbt_mcot_transcript_4.json,4,socratic,-0.249567
Gemma,cbt_mcot_transcript_4.json,5,validation,-0.227519
Gemma,cbt_mcot_transcript_4.json,6,validation,-0.127597
Gemma,cbt_mcot_transcript_4.json,7,socratic,-0.200019
Gemma,cbt_mcot_transcript_4.json,8,validation,-0.259768
Gemma,cbt_mcot_transcript_4.json,9,socratic,-0.013836
Gemma,cbt_mcot_transcript_5.json,0,socratic,-0.05424
Gemma,cbt_mcot_transcript_5.json,1,socratic,0.074561
Gemma,cbt_mcot_transcript_5.json,2,socratic,-0.264748
Gemma,cbt_mcot_transcript_5.json,3,socratic,-0.041812
Gemma,cbt_mcot_transcript_5.json,4,socratic,0.109665
Gemma,cbt_mcot_transcript_5.json,5,socratic,-0.090109
Gemma,cbt_mcot_transcript_5.json,6,socratic,-0.0303
Gemma,cbt_mcot_transcript_5.json,7,validation,-0.149437
Gemma,cbt_mcot_transcript_5.json,8,socratic,0.408316
Gemma,cbt_mcot_transcript_5.json,9,socratic,-0.018385
Gemma,cbt_mcot_transcript_6.json,0,socratic,0.033187
Gemma,cbt_mcot_transcript_6.json,1,socratic,0.019887
Gemma,cbt_mcot_transcript_6.json,2,socratic,0.07783
Gemma,cbt_mcot_transcript_6.json,3,socratic,-0.104809
Gemma,cbt_mcot_transcript_6.json,4,socratic,0.257338
Gemma,cbt_mcot_transcript_6.json,5,socratic,0.057411
Gemma,cbt_mcot_transcript_6.json,6,socratic,-0.010997
Gemma,cbt_mcot_transcript_6.json,7,socratic,-0.19649
Gemma,cbt_mcot_transcript_6.json,8,socratic,-0.002595
Gemma,cbt_mcot_transcript_6.json,9,validation,-0.01314
Gemma,cbt_mcot_transcript_7.json,0,socratic,0.252933
Gemma,cbt_mcot_transcript_7.json,1,socratic,0.083071
Gemma,cbt_mcot_transcript_7.json,2,socratic,0.074751
Gemma,cbt_mcot_transcript_7.json,3,socratic,0.036517
Gemma,cbt_mcot_transcript_7.json,4,socratic,0.075658
Gemma,cbt_mcot_transcript_7.json,5,socratic,-0.007054
Gemma,cbt_mcot_transcript_7.json,6,socratic,0.045961
Gemma,cbt_mcot_transcript_7.json,7,socratic,0.016486
Gemma,cbt_mcot_transcript_7.json,8,socratic,-0.05847
Gemma,cbt_mcot_transcript_7.json,9,socratic,0.123462
Gemma,cbt_mcot_transcript_8.json,0,validation,-0.023197
Gemma,cbt_mcot_transcript_8.json,1,validation,-0.40197
Gemma,cbt_mcot_transcript_8.json,2,validation,-0.020714
Gemma,cbt_mcot_transcript_8.json,3,validation,-0.204113
Gemma,cbt_mcot_transcript_8.json,4,socratic,0.069678
Gemma,cbt_mcot_transcript_8.json,5,socratic,-0.137629
Gemma,cbt_mcot_transcript_8.json,6,socratic,-0.136344
Gemma,cbt_mcot_transcript_8.json,7,socratic,0.111935
Gemma,cbt_mcot_transcript_8.json,8,socratic,0.14101
Gemma,cbt_mcot_transcript_8.json,9,socratic,0.121856
Gemma,cbt_mcot_transcript_9.json,0,validation,-0.090253
Gemma,cbt_mcot_transcript_9.json,1,socratic,0.001779
Gemma,cbt_mcot_transcript_9.json,2,socratic,0.008221
Gemma,cbt_mcot_transcript_9.json,3,socratic,0.097931
Gemma,cbt_mcot_transcript_9.json,4,socratic,-0.057669
Gemma,cbt_mcot_transcript_9.json,5,socratic,0.043796
Gemma,cbt_mcot_transcript_9.json,6,socratic,-0.067818
Gemma,cbt_mcot_transcript_9.json,7,socratic,0.005822
Gemma,cbt_mcot_transcript_9.json,8,socratic,0.06493
Gemma,cbt_mcot_transcript_9.json,9,socratic,0.108361
