,code,term
129,70691001,Agoraphobia (disorder)
130,61569007,Agoraphobia without history of panic disorder (disorder)
131,1380006,Agoraphobia without history of panic disorder with limited symptom attacks (disorder)
132,82415003,Agoraphobia without history of panic disorder without limited symptom attacks (disorder)
133,191722009,Agoraphobia with panic attacks (disorder)
134,403593004,Phobic fear of skin cancer (disorder)
135,426174008,Chronic stress disorder (disorder)
136,10743001000119103,Anxiety disorder in mother complicating childbirth (disorder)
137,109896009,Indication for modification of patient status (disorder)
138,109897000,Indication for modification of patient behavior status (disorder)
139,109898005,Indication for modification of patient cognitive status (disorder)
140,109899002,Indication for modification of patient emotional status (disorder)
141,109900007,Indication for modification of patient physical status (disorder)
142,109901006,Indication for modification of patient psychological status (disorder)
143,231520001,Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
144,268727002,Abuse of non-dependence-producing substances (disorder)
145,191928000,Abuse of antidepressant drug (disorder)
146,191930003,"Nondependent antidepressant type drug abuse, continuous (disorder)"
147,191931004,"Nondependent antidepressant type drug abuse, episodic (disorder)"
148,191932006,Nondependent antidepressant type drug abuse in remission (disorder)
149,231458000,Abuse of steroids (disorder)
150,231459008,Abuse of nonpsychotropic analgesic drugs (disorder)
151,280982009,Abuse of laxatives (disorder)
152,27051000119102,Chronic abuse of laxatives (disorder)
153,280983004,Abuse of vitamins (disorder)
154,280986007,Abuse of antacids (disorder)
155,288281000119100,Abuse of herbal medicine or folk remedy (disorder)
156,280984005,Abuse of herbal medicine (disorder)
157,72366004,Eating disorder (disorder)
158,231522009,Atypical anorexia nervosa (disorder)
159,270902002,Overeating associated with other psychological disturbances (disorder)
160,14077003,Pica (disorder)
161,192631000,Pica of infancy and childhood (disorder)
162,37941009,Rumination disorder (disorder)
163,36039004,Rumination disorder of infancy (disorder)
164,56882008,Anorexia nervosa (disorder)
165,63393005,"Anorexia nervosa, binge-eating purging type (disorder)"
166,77675002,"Anorexia nervosa, restricting type (disorder)"
167,698695006,Anorexia nervosa in remission (disorder)
168,74142004,Feeding disorder of infancy OR early childhood (disorder)
169,78004001,Bulimia nervosa (disorder)
170,231523004,Atypical bulimia nervosa (disorder)
171,32721004,"Bulimia nervosa, purging type (disorder)"
172,248118000,Self-induced purging to lose weight (disorder)
173,705001007,Self-induced vomiting to lose weight (disorder)
174,59645001,"Bulimia nervosa, nonpurging type (disorder)"
175,698698008,Bulimia nervosa in remission (disorder)
176,192016008,Non-organic infant feeding disturbance (disorder)
177,192017004,Non-organic loss of appetite (disorder)
178,231521002,Weight fixation (disorder)
179,275474009,Psychogenic overeating (disorder)
180,427469003,Eating disorder in remission (disorder)
181,426881004,Developmental delay in feeding (disorder)
182,439960005,Binge eating disorder (disorder)
183,700213005,Avoidant restrictive food intake disorder (disorder)
184,249520001,Self-induced purging (disorder)
185,231524005,Interictal behavior disorder (disorder)
186,710072005,Female athlete triad (disorder)
187,238959007,Disorders of cutaneous image and perception (disorder)
188,231516000,Cutaneous hypochondriasis (disorder)
189,238961003,Trichophobia (disorder)
190,238960002,Dermatological non-disease (disorder)
191,238967004,Psychogenic sensory disturbance of skin (disorder)
192,191966002,Psychogenic pruritus (disorder)
193,403594005,Psychogenic formication (disorder)
194,238972008,Cutaneous monosymptomatic delusional psychosis (disorder)
195,238973003,Delusions of parasitosis (disorder)
196,238974009,Delusions of infestation (disorder)
197,238975005,Delusion of foul odor (disorder)
198,238977002,Delusional hyperhidrosis (disorder)
199,238978007,Hyperschemazia (disorder)
200,238979004,Hyposchemazia (disorder)
201,403595006,Pinocchio syndrome (disorder)
202,111475002,Neurosis (disorder)
203,231519007,Depersonalization-derealization syndrome (disorder)
204,70764005,Depersonalization disorder (disorder)
205,280945000,Derealization syndrome (disorder)
206,267414004,Jumping disease (disorder)
207,280946004,Occupational neurosis (disorder)
208,191744004,Writer's cramp neurosis (disorder)
209,31297008,Somatoform disorder (disorder)
210,109956006,Psychogenic purpura (disorder)
211,231517009,Somatoform autonomic dysfunction (disorder)
212,191952007,Somatoform autonomic dysfunction - respiratory tract (disorder)
213,191953002,Psychogenic air hunger (disorder)
214,268650001,Somatoform autonomic dysfunction - gastrointestinal tract (disorder)
215,231518004,Globus abdominalis (disorder)
216,191972002,Psychogenic dyspepsia (disorder)
217,386537007,Psychogenic pylorospasm (disorder)
218,191973007,Psychogenic constipation (disorder)
219,191962000,Neurocirculatory asthenia (disorder)
220,111492006,"Conversion disorder, single episode (disorder)"
221,18193002,Hypochondriasis (disorder)
222,231515001,Hypochondriacal pain (disorder)
223,83482000,Body dysmorphic disorder (disorder)
224,129605006,Postgastrectomy neurosis (disorder)
225,18393005,Undifferentiated somatoform disorder (disorder)
226,30077003,Somatoform pain disorder (disorder)
227,300960003,Psychogenic back pain (disorder)
228,192029008,Psychogenic backache (disorder)
229,441711008,Chronic psychogenic pain (disorder)
230,35827000,Recurrent conversion disorder (disorder)
231,65438001,Psychogenic torticollis (disorder)
232,70967007,Hysterical deafness (disorder)
233,71802006,Astasia-abasia (disorder)
234,231509001,Dissociative astasia-abasia (disorder)
235,88902008,Hysterical blindness (disorder)
236,88984006,Hysterical paralysis (disorder)
237,191965003,Psychogenic skin symptoms (disorder)
238,191980009,Psychogenic endocrine malfunction (disorder)
239,191981008,Psychogenic symptom of special sense organ (disorder)
240,397923000,Somatization disorder (disorder)
241,397795007,Polysomatizing disorder (disorder)
242,397826007,Briquet's syndrome (disorder)
243,424271007,Hysterical cataplexy (disorder)
244,192630004,Psychogenic feeding disorder of infancy and childhood (disorder)
245,65384007,Psychogenic alopecia (disorder)
246,63990000,Psychogenic urticaria (disorder)
247,386572005,Psychogenic syncope (disorder)
248,191683009,Psychogenic stupor (disorder)
249,129562004,Psychogenic skin disease (disorder)
250,443853005,Psychogenic tremor (disorder)
251,44376007,Dissociative disorder (disorder)
252,191714002,Dissociative convulsions (disorder)
253,231445001,Organic dissociative disorder (disorder)
254,268715000,Dissociative motor disorder (disorder)
255,191713008,Dissociative tremor (disorder)
256,276296007,Dissociative trance (disorder)
257,276297003,Dissociative possession disorder (disorder)
258,276300008,Dissociative stupor (disorder)
259,280901000,Couvade (disorder)
260,280943007,Dissociative confusion (disorder)
261,31611000,Multiple personality disorder (disorder)
262,33693007,Compensation neurosis (disorder)
263,3586005,Psychogenic fugue (disorder)
264,7031000119100,Psychogenic fugue co-occurrent and due to stress reaction (disorder)
265,84209002,Psychogenic amnesia (disorder)
266,225040001,Localized dissociative amnesia (disorder)
267,191677006,Acute hysterical psychosis (disorder)
268,429571005,Sleep-related dissociative disorder (disorder)
269,698952009,Dissociative disorder in remission (disorder)
270,73972002,Postpartum neurosis (disorder)
271,191746002,Psychasthenic neurosis (disorder)
272,268957000,"Neurotic condition, insight present (disorder)"
273,268958005,Poor insight into neurotic condition (disorder)
274,111476001,"Mental disorder usually first evident in infancy, childhood AND/OR adolescence (disorder)"
275,106013002,"Mental disorder of infancy, childhood or adolescence (disorder)"
276,41526007,Reactive attachment disorder (disorder)
277,28857002,Reactive attachment disorder of infancy OR early childhood (disorder)
278,7291006,Reactive attachment disorder of infancy (disorder)
279,5507002,Stereotypy habit disorder (disorder)
280,40083003,Stereotypic movement disorder with self-injurious behavior (disorder)
281,24125008,Mental disorder in infancy (disorder)
282,26453000,Mental disorder in adolescence (disorder)
283,280375000,Psychological disorder associated with sexual development (disorder)
284,192523000,Sexual relationship disorder (disorder)
285,87991007,Gender identity disorder (disorder)
286,280377008,Sexual maturation disorder of sexual identity (disorder)
287,93461009,Gender dysphoria (disorder)
288,280378003,Sexual maturation disorder of sexual orientation (disorder)
289,18003009,Gender identity disorder of adulthood (disorder)
290,13670005,"Gender identity disorder of adulthood, previously heterosexual (disorder)"
291,50878001,"Gender identity disorder of adulthood, previously asexual (disorder)"
292,54417002,"Adult gender identity disorder, sexually attracted to females (disorder)"
293,59216005,"Adult gender identity disorder, sexually attracted to males (disorder)"
294,61180001,"Adult gender identity disorder, sexually attracted to neither sex (disorder)"
295,67123006,"Adult gender identity disorder, sexually attracted to both sexes (disorder)"
296,77815007,"Gender identity disorder of adulthood, previously homosexual (disorder)"
297,5095008,Gender identity disorder of childhood (disorder)
298,57715001,Gender identity disorder of adolescence (disorder)
299,30509009,"Gender identity disorder of adolescence, previously homosexual (disorder)"
300,3503000,"Gender identity disorder of adolescence, previously asexual (disorder)"
301,68963006,"Gender identity disorder of adolescence, previously heterosexual (disorder)"
302,191787001,Psychosexual identity disorder (disorder)
303,3914008,Mental disorder in childhood (disorder)
304,39465007,Emotional deprivation syndrome (disorder)
305,54319003,Disruptive behavior disorder (disorder)
306,82096005,Aggressive type unsocialized behavior disorder (disorder)
307,35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)"
308,698689005,"Attention deficit hyperactivity disorder, predominantly inattentive type in remission (disorder)"
309,7461003,"Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type (disorder)"
310,698692009,"Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type in remission (disorder)"
311,430909002,Conduct disorder (disorder)
312,66307007,"Conduct disorder, group type (disorder)"
313,17961008,"Conduct disorder, childhood-onset type (disorder)"
314,192099000,Childhood disorder of conduct and emotion (disorder)
315,231542000,Depressive conduct disorder (disorder)
316,231540008,Conduct disorder - in family context (disorder)
317,192118006,Childhood and adolescent relationship problem (disorder)
318,192119003,Sibling jealousy (disorder)
319,231541007,Conduct disorder - unsocialized (disorder)
320,192082001,Aggressive unsocial conduct disorder (disorder)
321,192092009,Group delinquency (disorder)
322,192100008,Neurotic delinquency (disorder)
323,268661009,Nonaggressive unsocial conduct disorder (disorder)
324,268662002,Unsocial childhood truancy (disorder)
325,18941000,Oppositional defiant disorder (disorder)
326,386820009,Socialized behavior disorder (disorder)
327,48826008,"Conduct disorder, adolescent-onset type (disorder)"
328,74850006,"Conduct disorder, solitary aggressive type (disorder)"
329,61901004,"Conduct disorder, undifferentiated type (disorder)"
330,698947004,Conduct disorder in remission (disorder)
331,31648009,Unaggressive type unsocialized behavior disorder (disorder)
332,717223008,X-linked epilepsy with learning disability and behavior disorder syndrome (disorder)
333,568005,Tic disorder (disorder)
334,230334008,Drug-induced tic (disorder)
335,56573006,Transient tic disorder (disorder)
336,44433009,Recurrent transient tic disorder (disorder)
337,8511007,"Transient tic disorder, single episode (disorder)"
338,191990001,Transient childhood tic (disorder)
339,76236006,Atypical tic disorder (disorder)
340,7794004,Chronic motor tic disorder (disorder)
341,230335009,Facial tic disorder (disorder)
342,230338006,Gestural tic disorder (disorder)
343,73462009,Chronic vocal tic disorder (disorder)
344,402732001,Habit tic (disorder)
345,402733006,Habit tic affecting skin (disorder)
346,403170002,Callosity caused by biting and/or chewing (disorder)
347,402735004,Habit tic affecting hair (disorder)
348,5158005,Gilles de la Tourette's syndrome (disorder)
349,23772009,Dysphonia of Gilles de la Tourette's syndrome (disorder)
350,230336005,Vocal tic disorder (disorder)
351,406506008,Attention deficit hyperactivity disorder (disorder)
352,192132008,Hyperkinetic conduct disorder (disorder)
353,229715008,Deficits in attention motor control and perception (disorder)
354,23148009,Undifferentiated attention deficit disorder (disorder)
355,31177006,"Attention deficit hyperactivity disorder, combined type (disorder)"
356,192127007,Child attention deficit disorder (disorder)
357,192131001,Hyperkinesis with developmental delay (disorder)
358,702815001,"Attention deficit hyperactivity disorder, inattentive presentation (restrictive) (disorder)"
359,129104009,Developmental mental disorder (disorder)
360,192562009,Disorder of psychological development (disorder)
361,35919005,Pervasive developmental disorder (disorder)
362,231536004,Atypical autism (disorder)
363,23560001,Asperger's disorder (disorder)
364,708037001,Residual Asperger's disorder (disorder)
365,68618008,Rett's disorder (disorder)
366,71961003,Childhood disintegrative disorder (disorder)
367,191692007,Active disintegrative psychoses (disorder)
368,191693002,Residual disintegrative psychoses (disorder)
369,373618009,Autistic spectrum disorder with isolated skills (disorder)
370,408856003,Autistic disorder (disorder)
371,408857007,Infantile autism (disorder)
372,43614003,Autistic disorder of childhood onset (disorder)
373,191689008,Active infantile autism (disorder)
374,191690004,Residual infantile autism (disorder)
375,702732007,High-functioning autism (disorder)
376,432091002,Savant syndrome (disorder)
377,442314000,Active but odd autism (disorder)
378,39951000119105,Pervasive developmental disorder of residual state (disorder)
379,702450004,FOXG1 syndrome (disorder)
380,702356009,"X-linked mental retardation, syndromic 13 (disorder)"
381,712884004,Pathological demand avoidance (disorder)
382,718393002,Atypical Rett syndrome (disorder)
383,4949009,Motor skill disorder (disorder)
384,27544004,Developmental coordination disorder (disorder)
385,192147004,Mixed disorder of psychological development (disorder)
386,229729009,Developmental language impairment (disorder)
387,229738006,Word finding difficulty (disorder)
388,229740001,Delayed pre-verbal development (disorder)
389,229741002,Restricted language development (disorder)
390,229742009,Restricted expressive language development (disorder)
391,229743004,Restricted receptive language development (disorder)
392,229744005,Developmental syntactic impairment (disorder)
393,229745006,Developmental semantic impairment (disorder)
394,229748008,Congenital auditory imperception (disorder)
395,280032002,Developmental language disorder (disorder)
396,187921002,Developmental receptive language disorder (disorder)
397,1145003,Developmental speech disorder (disorder)
398,229683000,Motor speech disorder (disorder)
399,229700007,Developmental motor speech disorder (disorder)
400,229721007,Speech delay (disorder)
401,391099000,On examination - speech delay (disorder)
402,716199000,Delayed speech and facial asymmetry with strabismus and ear lobe skin crease syndrome (disorder)
403,268672004,Disorder of speech and language development (disorder)
404,229733002,Expressive language disorder (disorder)
405,230438007,Acquired epileptic aphasia (disorder)
406,268734000,Developmental expressive language disorder (disorder)
407,229621000,Disorder of fluency (disorder)
408,229622007,Dysfluency (disorder)
409,229623002,Developmental dysfluency (disorder)
410,229625009,Normal non-fluency (disorder)
411,229631007,Acquired stammering (disorder)
412,229632000,Neurogenic stammering (disorder)
413,288271000119103,Childhood onset fluency disorder (disorder)
414,133991000119109,Fluency disorder as sequela of cerebrovascular disease (disorder)
415,229734008,Expressive language delay (disorder)
416,62211000119103,Moderate expressive language delay (disorder)
417,62221000119105,Severe expressive language delay (disorder)
418,62231000119108,Mild expressive language delay (disorder)
419,268673009,Developmental aphasia (disorder)
420,231535000,Language development disorder (disorder)
421,386701004,Developmental articulation disorder (disorder)
422,229698003,Articulatory dyspraxia (disorder)
423,229701006,Developmental articulatory dyspraxia (disorder)
424,229699006,Immature articulatory praxis (disorder)
425,427145007,Articulation disorder due to hyperkinesis (disorder)
426,89361000119103,Mild developmental articulation disorder (disorder)
427,441719005,Speech and language developmental delay due to hearing loss (disorder)
428,310814007,Discourse difficulties (disorder)
429,25766007,Mixed receptive-expressive language disorder (disorder)
430,702528003,Developmental delay in receptive-expressive language (disorder)
431,367515004,Receptive language disorder (disorder)
432,229736005,Receptive language delay (disorder)
433,89381000119107,Moderate receptive language delay (disorder)
434,89391000119105,Severe receptive language delay (disorder)
435,89501000119108,Mild receptive language delay (disorder)
436,716578009,Developmental language comprehension impairment (disorder)
437,1855002,Developmental academic disorder (disorder)
438,192575009,Mixed disorder of scholastic skills (disorder)
439,268738002,Specific spelling disorder (disorder)
440,359661001,Specific number difficulty (disorder)
441,31216003,Profound mental retardation (Intelligence Quotient below 20) (disorder)
442,45677003,Developmental expressive writing disorder (disorder)
443,47916000,Developmental arithmetic disorder (disorder)
444,52824009,Developmental reading disorder (disorder)
445,192136006,Specific reading disorder (disorder)
446,443735008,Nonverbal learning disorder (disorder)
447,91138005,Mental retardation (disorder)
448,10007009,Coffin-Siris syndrome (disorder)
449,109478007,Kohlschutter's syndrome (disorder)
450,232059000,Laurence-Moon syndrome (disorder)
451,238110009,Nutritional mental retardation (disorder)
452,313426007,Kabuki make-up syndrome (disorder)
453,21634003,Borjeson-Forssman-Lehmann syndrome (disorder)
454,33982008,Hyperphosphatasemia with mental retardation (disorder)
455,40700009,Severe mental retardation (Intelligence Quotient 20-34) (disorder)
456,5619004,Bardet-Biedl syndrome (disorder)
457,59252009,Cutis laxa-corneal clouding-oligophrenia syndrome (disorder)
458,61152003,Moderate mental retardation (Intelligence Quotient 35-49) (disorder)
459,77287004,Borderline mental retardation (Intelligence Quotient 70-85) (disorder)
460,77383003,Marfanoid mental retardation syndrome (disorder)
461,86765009,Mild mental retardation (Intelligence Quotient 50-70) (disorder)
462,412787009,"Mental retardation, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth (disorder)"
463,699297004,"Blepharophimosis-mental retardation syndrome, Maat-Kievit-Brunner type (disorder)"
464,699298009,"Blepharophimosis-mental retardation syndrome, Say-Barber-Biesecker-Young-Simpson type (disorder)"
465,414673004,"Mental retardation, dwarfism, and gonadal hypoplasia due to xeroderma pigmentosa (disorder)"
466,422437002,X-linked mental retardation with marfanoid habitus syndrome (disorder)
467,699669001,Renpenning syndrome (disorder)
468,702412005,X-linked intellectual deficit-dystonia-dysarthria syndrome (disorder)
469,702416008,Snyder-Robinson x-linked mental retardation syndrome (disorder)
470,703389002,Calcium/calmodulin-dependent serine protein kinase related intellectual disability (disorder)
471,702816000,Methyl-cytosine phosphate guanine binding protein-2 duplication syndrome (disorder)
472,703535000,Mowat-Wilson syndrome (disorder)
473,715441004,McDonough syndrome (disorder)
474,716024001,Goniodysgenesis with intellectual disability and short stature syndrome (disorder)
475,715409005,Trigonocephaly C syndrome (disorder)
476,715628009,"Intellectual disability, truncal obesity, retinal dystrophy and micropenis syndrome (disorder)"
477,715428003,Skeletal dysplasia with epilepsy and short stature syndrome (disorder)
478,716096005,Hypospadias and intellectual disability syndrome Goldblatt type (disorder)
479,716112005,Microcephaly with deafness and intellectual disability syndrome (disorder)
480,716191002,Alopecia and intellectual disability syndrome (disorder)
481,716334004,Intellectual disability and short stature with hand contracture and genital anomaly syndrome (disorder)
482,717157006,Trisomy 10p (disorder)
483,717222003,Microphthalmia with ankyloblepharon and intellectual disability syndrome (disorder)
484,716089008,Craniofacial digital and genital anomalies syndrome (disorder)
485,715989002,Congenital cataract with intellectual disability and anal atresia and urinary defect syndrome (disorder)
486,716706009,Female restricted epilepsy with intellectual disability syndrome (disorder)
487,716709002,FRAXE intellectual disability syndrome (disorder)
488,716996008,Hypoplasia of corpus callosum and mental retardation with adducted thumbs and spasticity and hydrocephalus syndrome (disorder)
489,718226002,Wolf Hirschhorn syndrome (disorder)
490,716107009,Early onset parkinsonism and intellectual disability syndrome (disorder)
491,231537008,Developmental agnosia (disorder)
492,111479008,Organic mental disorder (disorder)
493,106014008,Organic mental disorder of unknown etiology (disorder)
494,2776000,Delirium (disorder)
495,191507002,Subacute delirium (disorder)
496,191508007,"Subacute confusional state, post-traumatic (disorder)"
497,191509004,"Subacute confusional state, of infective origin (disorder)"
498,191510009,"Subacute confusional state, of endocrine origin (disorder)"
499,191511008,"Subacute confusional state, of metabolic origin (disorder)"
500,191512001,"Subacute confusional state, of cerebrovascular origin (disorder)"
501,231439009,Toxic confusional state (disorder)
502,231450007,Psychosis associated with intensive care (disorder)
503,231451006,Drug-induced intensive care psychosis (disorder)
504,280994000,Chronic confusional state (disorder)
505,85821003,Acute non-psychotic brain syndrome (disorder)
506,191501001,"Acute confusional state, post-traumatic (disorder)"
507,191502008,"Acute confusional state, of infective origin (disorder)"
508,191503003,"Acute confusional state, of endocrine origin (disorder)"
509,191504009,"Acute confusional state, of metabolic origin (disorder)"
510,191505005,"Acute confusional state, of cerebrovascular origin (disorder)"
511,231440006,Delirium of mixed origin (disorder)
512,404906000,Postoperative confusion (disorder)
513,10349009,Multi-infarct dementia with delirium (disorder)
514,191492000,Drug-induced delirium (disorder)
515,31715000,Phencyclidine delirium (disorder)
516,39807006,Cannabis intoxication delirium (disorder)
517,70328006,Cocaine delirium (disorder)
518,8635005,Alcohol withdrawal delirium (disorder)
519,8837000,Amphetamine delirium (disorder)
520,39003006,Psychoactive substance-induced organic delirium (disorder)
521,5444000,"Sedative, hypnotic AND/OR anxiolytic intoxication delirium (disorder)"
522,49481000,Postseizure delirium (disorder)
523,698958008,Delirium in remission (disorder)
524,42594001,Organic mood disorder of depressed type (disorder)
525,45912004,Organic hallucinosis (disorder)
526,193756007,Charles Bonnet syndrome (disorder)
527,28368009,Psychoactive substance-induced organic hallucinosis (disorder)
